BIO_ID,100000_mean,100000_max,1000_max,1000_mean,10000_max,10000_mean,5000_mean,5000_max,512_max,512_mean,25000_max,25000_mean,50000_mean,50000_max,100_mean,100_max
BIO1,0.611,0.53,0.567,0.485,0.553,0.613,0.562,0.549,0.516,0.577,0.499,0.603,0.609,0.487,0.55,0.618
BIO15,0.333,0.173,0.414,0.308,0.304,0.292,0.322,0.231,0.391,0.269,0.203,0.338,0.336,0.234,0.307,0.335
BIO18,0.413,0.348,0.41,0.369,0.469,0.391,0.407,0.418,0.422,0.438,0.401,0.466,0.544,0.364,0.305,0.433
BIO19,0.157,0.093,0.187,0.074,0.134,0.146,0.153,0.107,0.168,0.099,0.107,0.212,0.178,0.084,0.148,-0.047
BIO2,0.351,0.317,0.383,0.298,0.292,0.355,0.388,0.295,0.43,0.237,0.274,0.338,0.318,0.338,0.319,0.376
BIO3,0.695,0.422,0.622,0.588,0.626,0.62,0.562,0.605,0.617,0.574,0.608,0.665,0.686,0.545,0.601,0.587
BIO8,0.185,-0.07,0.148,0.195,0.16,0.166,0.161,0.162,0.189,0.19,0.18,0.2,0.193,0.175,0.074,0.056
BIO9,0.587,0.378,0.557,0.428,0.492,0.567,0.512,0.506,0.572,0.503,0.392,0.593,0.61,0.397,0.468,0.508
BIO_10_5,0.362,0.446,0.415,0.367,0.356,0.339,0.379,0.277,0.376,0.424,0.141,0.407,0.383,0.297,0.386,0.404
BIO_11_6,0.743,0.573,0.714,0.702,0.676,0.782,0.715,0.694,0.73,0.696,0.714,0.794,0.786,0.608,0.606,0.759
BIO_12_13_16,0.069,0.092,0.081,0.064,0.14,0.072,0.079,0.093,0.037,0.068,0.077,0.112,0.089,0.086,0.027,0.021
BIO_14_17,0.351,0.293,0.271,0.235,0.278,0.31,0.306,0.285,0.314,0.279,0.224,0.36,0.329,0.314,0.332,0.101
BIO_4_7,0.745,0.546,0.72,0.664,0.648,0.735,0.718,0.645,0.757,0.689,0.683,0.75,0.75,0.58,0.572,0.74
Soil_Nitrogen_SOC,0.238,0.17,0.239,0.232,0.26,0.181,0.151,0.15,0.307,0.23,0.202,0.231,0.205,0.136,0.243,0.25
bdod_mean,0.192,0.256,0.082,0.16,0.208,0.177,-0.011,0.182,0.218,0.22,0.253,0.163,0.22,0.128,0.167,0.175
clay_mean,0.235,0.183,0.253,0.321,0.197,0.25,0.254,0.232,0.307,0.273,0.185,0.202,0.265,0.198,0.248,0.28
phh2o_mean,0.316,0.217,0.141,0.149,0.212,0.275,0.209,0.163,0.256,0.239,0.174,0.302,0.257,0.187,0.275,0.222
wv0033_mean,0.327,0.172,0.34,0.243,0.305,0.208,0.221,0.251,0.354,0.293,0.247,0.308,0.281,0.247,0.29,0.261
