BIO_ID,ElasticNet,SVR_Linear,SVR_RBF,Average
BIO_4_7,0.719,0.668,0.578,0.655
BIO_11_6,0.714,0.664,0.534,0.637
BIO3,0.628,0.592,0.55,0.59
BIO1,0.575,0.535,0.439,0.516
BIO9,0.539,0.505,0.426,0.49
BIO18,0.411,0.44,0.37,0.407
BIO_10_5,0.415,0.346,0.351,0.371
BIO15,0.399,0.368,0.299,0.355
BIO2,0.389,0.326,0.334,0.35
wv0033_mean,0.345,0.266,0.327,0.313
BIO_14_17,0.272,0.288,0.19,0.25
clay_mean,0.253,0.232,0.226,0.237
Soil_Nitrogen_SOC,0.237,0.253,0.203,0.231
BIO8,0.173,0.142,0.234,0.183
bdod_mean,0.19,0.123,0.152,0.155
BIO19,0.127,0.138,0.088,0.118
phh2o_mean,0.135,0.019,0.085,0.08
BIO_12_13_16,0.081,0.086,-0.017,0.05
